City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
73,Balikpapan,ID,2021-03-01 23:02:38,-1.2675,116.8289,76.48,85,93,2.68
74,Kudahuvadhoo,MV,2021-03-01 23:02:38,2.6708,72.8944,81.43,73,73,11.48
75,Itarema,BR,2021-03-01 23:02:38,-2.9248,-39.9167,78.94,79,96,10.94
76,Ponta Do Sol,PT,2021-03-01 23:02:39,32.6667,-17.1,59.0,67,40,3.44
77,Mataura,NZ,2021-03-01 23:02:39,-46.1927,168.8643,71.01,80,41,1.99
78,Sambava,MG,2021-03-01 23:02:40,-14.2667,50.1667,75.74,87,45,6.55
79,Piacabucu,BR,2021-03-01 23:02:40,-10.4056,-36.4344,78.75,76,20,11.01
80,Codrington,AU,2021-03-01 23:02:40,-38.2667,141.9667,57.06,56,100,13.11
81,Kapaa,US,2021-03-01 23:02:41,22.0752,-159.319,75.2,64,20,23.02
82,Iquique,CL,2021-03-01 23:02:41,-20.2208,-70.1431,77.0,53,0,17.27
83,Parabel,RU,2021-03-01 23:02:42,58.6978,81.4825,-17.37,95,92,5.97
84,Sao Filipe,CV,2021-03-01 23:02:42,14.8961,-24.4956,68.29,73,39,10.38
85,Leh,IN,2021-03-01 23:02:42,34.1667,77.5833,5.67,59,0,2.44
86,Saint-Augustin,CA,2021-03-01 23:02:42,51.226,-58.6502,26.49,97,100,10.65
87,Diu,IN,2021-03-01 23:02:43,20.7141,70.9822,72.23,27,0,6.51
88,Gravdal,NO,2021-03-01 23:02:43,68.1214,13.5031,37.69,81,97,20.11
89,Hithadhoo,MV,2021-03-01 23:02:44,-0.6,73.0833,81.73,70,84,9.1
90,Barrow,US,2021-03-01 23:02:44,71.2906,-156.7887,-18.4,69,1,11.5
91,Santa Rosa,PH,2021-03-01 23:02:44,14.3122,121.1114,81.0,83,20,3.44
92,Santa Vitoria Do Palmar,BR,2021-03-01 23:02:44,-33.5189,-53.3681,72.41,87,64,12.57
93,Beloha,MG,2021-03-01 23:02:45,-25.1667,45.05,74.46,84,88,15.68
