City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Hilo,US,73.4,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
161,Mahanoro,MG,76.08,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
162,Puerto Escondido,MX,87.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
163,Sardarshahr,IN,71.64,clear sky,28.4333,74.4833,Hotel Moti Mahal
166,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Bowen,AU,75.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
170,Tual,ID,82.71,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
177,Kananga,CD,72.66,light rain,-5.8958,22.4178,Guest House Wood Land
183,Yola,NG,84.88,overcast clouds,9.2,12.4833,Muna Hotel
186,Bosaso,SO,76.91,overcast clouds,11.2842,49.1816,Red Sea Hotel
188,Hithadhoo,MV,82.83,overcast clouds,-0.6,73.0833,Scoop Guest House
190,Narasapur,IN,71.2,clear sky,16.45,81.6667,TCI Xps
201,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Itarema,BR,82.76,heavy intensity rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Cidreira,BR,79.12,light rain,-30.1811,-50.2056,Hotel Castelo
206,San Pedro,PH,78.8,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
207,Omboue,GA,79.59,light rain,-1.5746,9.2618,Hotel Olako
208,Lingao,CN,72.03,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
212,Labuhan,ID,75.22,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
216,Binga,ZW,72.48,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
217,Ancud,CL,73.4,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
218,Cerrito,CO,78.8,scattered clouds,6.8432,-72.694,Yariseth juliana
220,Cabo San Lucas,MX,81.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
221,Arica,CL,77.0,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
223,Ratnapura,LK,72.27,clear sky,6.6828,80.3992,Hotel Helenium
225,Ajra,IN,70.3,few clouds,16.1167,74.2,Hotel Minerva Paradise
227,Palmas,BR,87.8,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
229,Hue,VN,71.6,mist,16.4667,107.6,Saigon Morin Hotel
231,Nabire,ID,75.11,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
232,Rodrigues Alves,BR,78.8,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
233,Sur,OM,77.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
236,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
237,Mangrol,IN,75.56,clear sky,21.1167,70.1167,Hotel The Royal Honours
242,Coihaique,CL,77.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
244,Samarai,PG,81.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
245,Corumba,BR,84.2,light rain,-19.0092,-57.6533,Hotel Laura Vicunha
247,Sambava,MG,78.94,light rain,-14.2667,50.1667,Melrose
250,Wajir,KE,91.4,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
251,Dingle,PH,74.68,few clouds,10.9995,122.6711,SEGAYA PROPERTY
253,Kavieng,PG,82.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
254,Cabedelo,BR,82.4,light rain,-6.9811,-34.8339,Hotel Pigalle
255,Houston,US,73.0,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
259,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
262,Kango,GA,76.42,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
264,San Patricio,US,73.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
267,Iquitos,PE,87.8,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
268,Catia La Mar,VE,89.6,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
269,Alice Springs,AU,73.4,few clouds,-23.7,133.8833,Desert Palms Alice Springs
271,Waingapu,ID,77.79,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
278,Celestun,MX,78.22,broken clouds,20.8667,-90.4,Posada Lilia
280,Pimentel,PE,84.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
281,Port Alfred,ZA,70.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
