City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Andenes,NO,69.3143,16.1194,30.0,64,40,14.97,light snow
139,Yellowknife,CA,62.456,-114.3525,-5.01,71,75,16.11,snow
140,Maniitsoq,GL,65.4167,-52.9,34.56,82,79,7.16,broken clouds
141,Meulaboh,ID,4.1363,96.1285,78.17,86,69,3.74,light rain
142,Fare,PF,-16.7,-151.0167,82.81,75,91,10.96,moderate rain
143,Kaitangata,NZ,-46.2817,169.8464,54.0,59,100,6.38,overcast clouds
144,Batagay-Alyta,RU,67.8006,130.4114,-22.65,79,99,3.33,overcast clouds
145,Carnarvon,AU,-24.8667,113.6333,73.4,88,40,8.05,scattered clouds
146,San Clemente,US,33.427,-117.612,62.01,70,0,1.99,clear sky
147,Pundaguitan,PH,6.3711,126.1689,80.85,78,48,14.76,moderate rain
148,Kununurra,AU,-15.7667,128.7333,78.8,58,0,3.44,clear sky
149,Torbay,CA,47.6666,-52.7314,35.01,69,75,18.41,light rain
150,Talnakh,RU,69.4865,88.3972,-6.11,89,100,9.33,overcast clouds
151,Mehamn,NO,71.0357,27.8492,26.6,74,75,8.05,snow
152,Esperance,AU,-33.8667,121.9,64.4,88,40,12.66,scattered clouds
153,Havelock,US,34.8791,-76.9013,68.0,24,1,11.5,clear sky
154,East London,ZA,-33.0153,27.9116,69.8,94,75,6.91,broken clouds
155,Dhamtari,IN,20.7072,81.5497,78.8,27,1,3.44,haze
156,Kerema,PG,-7.9631,145.7785,76.96,78,100,3.58,overcast clouds
157,Port Lincoln,AU,-34.7333,135.8667,61.12,84,79,15.32,broken clouds
158,San Cristobal,VE,7.7669,-72.225,87.8,51,20,11.5,few clouds
159,Hilo,US,19.7297,-155.09,73.4,64,1,7.36,clear sky
160,Krasnoselkup,RU,65.7,82.4667,9.05,94,97,11.65,overcast clouds
161,Mahanoro,MG,-19.9,48.8,76.08,91,100,8.48,light rain
162,Puerto Escondido,MX,15.85,-97.0667,87.8,66,1,9.22,clear sky
163,Sardarshahr,IN,28.4333,74.4833,71.64,21,0,6.44,clear sky
164,Deputatskiy,RU,69.3,139.9,-25.24,85,100,9.71,overcast clouds
165,Brae,GB,60.3964,-1.353,35.6,75,90,6.91,overcast clouds
166,Acapulco,MX,16.8634,-99.8901,84.2,70,40,6.91,scattered clouds
167,Bowen,AU,-20.0167,148.2333,75.2,83,75,9.22,broken clouds
168,Jalu,LY,29.0331,21.5482,56.03,43,0,6.93,clear sky
169,Provideniya,RU,64.3833,-173.3,13.12,93,100,4.07,snow
170,Tual,ID,-5.6667,132.75,82.71,77,94,14.99,overcast clouds
171,Gubskaya,RU,44.3164,40.6358,28.29,93,0,3.74,clear sky
172,Somerset,US,40.5668,-74.5496,43.0,39,40,19.57,scattered clouds
173,Saryozek,KZ,44.3583,77.9753,35.85,80,100,8.19,overcast clouds
174,Nanortalik,GL,60.1432,-45.2371,37.87,85,97,12.62,light rain
175,Sakakah,SA,29.9697,40.2064,53.6,40,0,18.41,clear sky
176,Avera,US,33.194,-82.5271,69.8,24,1,8.05,clear sky
177,Kananga,CD,-5.8958,22.4178,72.66,82,94,1.99,light rain
178,Tigil,RU,57.8,158.6667,-6.68,90,57,14.83,broken clouds
179,Dmitriyevskoye,RU,45.8053,41.8967,35.49,85,0,11.48,clear sky
180,Camacha,PT,33.0833,-16.3333,62.6,82,40,16.11,scattered clouds
181,Tura,IN,25.5198,90.2201,64.0,28,0,2.21,clear sky
182,Shimoda,JP,34.6667,138.95,44.01,90,99,6.6,overcast clouds
183,Yola,NG,9.2,12.4833,84.88,14,88,1.9,overcast clouds
184,Taoudenni,ML,22.6783,-3.9836,73.78,13,0,10.42,clear sky
185,Hovd,MN,48.0056,91.6419,13.91,75,0,0.74,clear sky
186,Bosaso,SO,11.2842,49.1816,76.91,80,100,1.95,overcast clouds
187,Namtsy,RU,62.7161,129.6658,-31.0,61,0,6.71,clear sky
188,Hithadhoo,MV,-0.6,73.0833,82.83,70,93,8.57,overcast clouds
189,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,72,20,10.56,few clouds
190,Narasapur,IN,16.45,81.6667,71.2,85,0,3.06,clear sky
191,Aripuana,BR,-9.1667,-60.6333,81.03,72,100,3.44,overcast clouds
192,Fairbanks,US,64.8378,-147.7164,1.99,84,90,2.89,overcast clouds
193,Sidhi,IN,24.4167,81.8833,66.22,24,16,2.3,few clouds
194,Haines Junction,CA,60.7522,-137.5108,19.4,63,100,4.61,overcast clouds
195,Pangnirtung,CA,66.1451,-65.7125,12.2,62,75,16.11,snow
196,Dikson,RU,73.5069,80.5464,-28.98,83,3,13.51,clear sky
197,Kasongo,CD,-4.45,26.6667,69.3,90,100,2.24,light rain
